,x,y
dat,-33.696465,35.974937
neber,-32.4575,40.309895
pair,-65.01744,-6.085676
talking,0.041661773,2.1545262
question,15.6001425,29.314629
tie,-45.63658,2.079174
bark,-48.666126,-37.19936
ball,-18.749277,-9.380046
smoke,-28.331505,-33.322453
joined,14.773704,9.030467
count,-12.525536,49.323387
meet,5.8196306,-2.009508
ended,42.125206,-3.487163
yonder,9.889589,42.58826
frank,62.31569,0.5931665
gettin,-14.827911,27.826998
tobacco,41.331978,-28.326736
window,-4.6868515,-42.35258
bluff,51.992264,-17.234026
c,59.82269,-17.671488
slip,-35.414864,24.163069
han,-43.909554,22.132278
forgot,1.5566673,52.18915
lucy,70.09546,14.896488
ann,68.59182,11.591383
bein,-15.837884,30.518091
cookin,-15.737154,-36.15227
shoot,-18.37377,13.668233
thread,-65.99318,-19.087107
however,20.084118,3.7592652
whenever,18.700926,-7.356904
drunk,-23.277243,-18.893023
pig,-34.40841,-52.606533
memphis,51.52386,-15.682848
hall,66.74402,1.1659477
order,21.969732,-10.481588
lie,11.103959,44.414467
rail,-48.68752,-13.315352
apple,-31.808321,-34.856903
florida,56.705334,-9.913461
singin,0.7201183,10.393493
outside,-5.054879,-40.752476
belief,23.205069,27.48137
education,27.727497,40.88034
recall,20.26133,10.02673
finger,-58.230774,3.9527931
luck,-34.501686,6.411674
either,-4.0343337,35.081974
west,25.165648,-41.803223
party,-17.490707,-14.049086
section,34.245495,-5.3349476
served,16.973246,-14.063489
drive,-0.40049583,-22.9623
whup,-11.304779,19.22425
although,27.417246,10.612077
laugh,-26.964447,56.94361
stuff,-28.535707,-38.515472
grave,-34.71841,-14.53883
tail,-50.117985,6.9144826
homemade,-59.856956,-24.970608
fat,-40.567917,-41.422268
charlie,54.76885,12.813805
bank,32.782963,-48.896633
sense,18.598932,41.609116
quilt,-57.027588,-17.443693
cane,-30.902847,-46.620396
sarah,66.610985,9.118834
fightin,-11.962615,25.528454
missy,-17.08149,55.027218
bright,7.4339566,-45.67673
columbia,58.960663,-18.562414
loom,-64.84582,-20.536522
whether,29.030321,19.76149
throw,-47.515636,6.87089
rain,-52.351936,-23.752007
moore,58.362858,4.8177223
bucket,-40.410423,-27.718096
spirit,22.048708,28.89491
thousand,28.396759,-18.751791
tired,-10.869444,-22.473473
plant,-20.917572,-46.58853
horn,-30.505955,0.530958
building,18.342268,-42.37223
thirty,27.416618,-15.386776
cum,-37.21924,36.796825
sat,-3.4332516,-35.16976
memory,20.637367,13.864291
allow,17.968649,-2.7916458
proud,-16.654608,4.847473
fiel,-15.131195,-42.807293
evvy,-26.271801,32.327446
brush,-40.199352,-13.476185
shop,22.540306,-32.116558
trying,2.8075335,0.18367402
chimney,-43.688927,-22.913069
sung,0.6604934,11.778342
meant,2.0907393,40.38796
vegetable,-26.674562,-42.196262
voice,0.55302966,14.088427
hope,1.2458066,55.657112
regular,21.275343,-7.731512
evening,-14.347927,-24.586107
knee,-52.327293,-0.6784112
watch,-24.782095,-24.696978
bird,-25.138323,-7.771293
coffin,-34.975384,-13.672346
following,25.461277,3.6040382
pile,-26.719053,-15.958429
somewhere,37.9192,-31.281454
inside,-0.9134831,-41.316574
farmer,56.87028,-3.2727067
wheel,-67.01535,-20.765244
gray,-60.822926,-1.1244081
task,17.744495,-27.144516
fannie,66.93109,9.306684
*,61.779354,-19.019794
manner,17.212658,5.074672
build,15.344373,-41.170113
skin,-47.95922,-29.277037
tryin,-17.216639,35.922752
cattle,-30.782207,-53.72651
clear,6.1669545,-47.965843
covered,-35.273422,-21.072674
fit,6.948421,53.20644
betty,71.74555,11.830635
tater,-29.382496,-40.012913
stone,17.522894,-40.288197
whoop,-9.520985,13.555782
fever,-49.84461,-35.332405
broom,-24.90434,6.6852593
wove,-63.899876,-19.65707
plank,-45.57361,-18.463425
finished,-12.123784,-30.309612
rough,-47.797928,-17.761557
shuck,-25.388313,-15.975004
rather,25.711672,11.526223
running,-0.9417444,-3.0388706
true,23.19018,25.520885
alone,34.65845,6.39863
basket,-53.26615,-15.2429285
egg,-35.93357,-39.23828
longer,17.511477,-21.944324
followed,1.4399962,-3.9613388
minute,-47.00688,42.10385
sound,18.305237,2.2637842
ticket,30.83849,32.373947
awhile,-3.168086,-10.952883
think,0.81033945,54.919994
butter,-33.479736,-39.0519
bothered,5.9811516,35.537537
wha,-44.870495,30.858002
jist,-30.958351,44.505333
somepin,-21.912344,29.846361
bone,-47.762135,14.908623
placed,15.400151,-10.301762
agin,-41.08558,44.318096
coat,-62.66144,-7.018119
cat,-51.610424,7.395894
point,33.627995,-10.9209
coal,-40.65377,-35.130566
sale,37.319393,-28.804518
bless,14.125008,50.683586
worry,-18.483683,46.41686
charles,57.186398,-8.445354
past,22.743662,15.144327
taking,8.532592,-10.720526
trip,43.175774,-34.615776
ear,-58.97587,0.63453233
track,45.42062,-36.169315
molasses,-34.55618,-43.982265
snake,-52.488773,7.657503
brick,17.246058,-41.815083
blacksmith,22.340538,-31.888554
martha,68.940735,6.892487
anyhow,-21.547955,40.90869
mud,-44.103687,-22.382479
string,-48.413692,-2.3061192
hang,-45.804184,3.4147563
buggy,-0.11636251,-25.75376
fun,-12.851314,31.334951
take,-21.9944,47.768642
charleston,43.61667,-20.755188
sherman,41.636272,-11.708433
smokehouse,-28.11535,-34.512875
seat,-5.9739385,-34.743874
iffen,-29.004522,43.822037
suit,-64.55779,-5.1377616
rope,-48.29986,-1.3951582
funeral,-34.326824,-12.955222
growed,-21.89386,-42.44976
easy,-12.961112,50.556087
cruel,25.061502,19.182554
continued,13.082827,28.200542
jumped,-26.178024,9.176966
republican,33.457478,31.915071
religion,18.651745,17.396812
tote,-47.55879,8.833024
spell,-10.922781,35.62135
mistis,58.22215,20.509073
onliest,-39.51619,27.520395
sallie,68.70745,7.5974884
chain,-46.67612,0.19212951
changed,0.8014653,51.281776
hound,-25.41362,0.3251942
mattress,-54.694283,-16.935396
really,25.544855,26.998735
atlanta,50.9165,-23.98433
blind,56.124077,16.87159
received,14.392482,-4.9234214
wedding,-21.574669,4.7535186
knock,-28.072279,13.7972145
condition,28.573286,17.189363
be,-40.692745,32.565002
ox,0.23486461,-25.185394
break,-28.469814,5.881859
pole,-45.516846,-16.521614
jined,6.7977967,17.285524
settled,48.98012,-13.749938
blow,-30.810493,0.051550545
brung,-30.88949,35.093002
afternoon,-14.108178,-24.2385
hotel,49.008698,-27.69128
lewis,53.275314,10.651093
e,-43.238636,34.221478
rent,24.0733,-26.388704
lan,-36.79802,31.307734
preach,7.6046724,12.921435
spin,-66.70091,-18.311396
call,-22.772848,51.534744
preached,8.762155,12.841343
hisself,-3.4957433,-15.381387
pant,-62.094482,-7.5769095
quick,-45.123104,19.81993
eatin,-19.430729,-36.36852
washing,5.320528,-36.92875
music,-20.057081,-12.82914
bush,-28.955238,-26.873234
la,-41.32816,43.607445
missis,53.024403,16.205397
grease,-47.54604,-29.51773
middle,19.569748,-46.037327
saying,14.259347,26.29747
farming,21.015821,-24.80969
trough,-39.090534,-26.524078
feather,-55.00853,-16.096176
grass,-32.804844,-26.236895
lash,-10.822414,15.264439
telling,16.472288,20.999926
pan,-39.261623,-30.993607
filled,-35.288803,-22.057154
lick,-11.80071,14.595029
richmond,53.43211,-9.375661
kilt,-17.459345,12.419307
court,37.824074,-0.032791853
picture,30.923542,46.410553
mixed,-36.736965,-44.66619
sont,0.90499157,-15.898761
bury,-34.0499,-16.297306
tol,-29.454271,46.944893
flower,8.426211,-42.72744
heaven,16.325611,53.627995
polly,71.5806,14.3341
berry,-51.872997,-39.688354
dug,-35.222347,-18.263176
dream,-33.084885,3.8291855
kep,-26.883022,20.298992
remained,24.176884,0.38554582
stove,-41.396175,-33.207226
winnsboro,59.667675,-16.850576
main,23.395226,-39.43386
officer,41.896088,-15.3602915
fool,18.851538,41.969814
wide,-44.685593,-13.188808
pocket,-54.7058,-7.602857
visitor,23.550652,6.3847914
whe,-13.158033,38.84037
please,-26.518286,56.027225
frame,19.872831,-41.699482
scott,52.540825,3.1114342
rebel,40.113308,-15.197325
crazy,-13.10128,35.188587
trade,21.594023,-30.782574
thank,14.403131,50.403107
rag,-57.75978,-16.471157
liquor,-25.489838,-18.535933
car,-4.542831,-30.555868
patterollers,-7.5447445,8.032119
sorry,-6.380522,56.5227
deep,-36.311054,-18.65845
wool,-63.12819,-20.318468
hungry,-12.797137,2.1770618
glass,-41.49806,-27.65361
oil,-49.09735,-39.656914
fiddle,-19.825132,-13.232749
blong,64.517876,3.0689776
see,-25.065327,49.481293
grand,34.495358,10.823718
harris,68.43414,5.45872
oven,-38.517887,-35.156754
treat,15.930816,36.79595
worth,31.481398,-23.876818
leather,-58.818684,-6.3136344
reached,13.939286,-10.009275
worse,19.432114,35.265144
weave,-65.96471,-17.734964
ham,-27.98774,-35.238705
give,-20.61686,49.039898
moon,-35.704884,6.94417
der,-35.05326,43.803776
biggest,-7.1329856,-27.777412
bag,-55.225216,-13.152085
allen,53.141438,2.470564
walking,-0.85474026,1.5040537
replied,14.704159,27.108326
whuppin,-11.714794,18.186354
gold,-31.759995,-17.736015
cose,-15.816999,41.83695
size,-39.138454,-12.601708
answer,15.265679,28.943056
fair,-6.1984982,46.170906
rule,25.659575,21.045631
outen,-41.627922,26.326706
beatin,-9.496928,17.607634
welfare,32.579258,1.4033442
required,20.130592,-4.439807
jefferson,58.32954,-12.936706
helena,53.190056,-15.802203
widow,56.450695,9.882067
clothing,-23.328003,-31.790936
twentyfive,28.007534,-15.767846
hed,-36.31713,35.9987
bale,-21.753654,-51.581284
tended,7.0006714,-28.843283
jesus,12.237293,55.08141
witch,-10.779007,35.617268
soul,12.489581,52.0482
grove,21.742266,-43.08865
gang,-12.002188,-9.326857
goose,-36.369396,-49.943394
charge,8.190876,-23.219896
roll,-49.26353,-7.3529887
pateroles,-8.822976,8.949389
become,27.666746,9.850766
carpenter,21.767315,-30.922289
account,28.582376,13.401001
nother,-36.6067,41.022533
frolic,-17.969973,-15.236876
ud,-34.869564,24.675611
dry,-34.725063,-27.280478
herb,-51.318275,-38.0577
governor,38.095497,31.48444
according,26.68844,-2.3774946
showed,-43.52168,1.5381393
crack,-44.830524,-22.043697
fetch,0.46677303,-16.433115
ring,-60.290916,6.726917
standin,-33.762108,14.379837
whilst,-23.416027,30.87751
begin,-5.880579,-0.38851207
tend,6.2204704,-29.516745
whose,59.124157,-4.125784
common,15.513462,-16.155916
fresh,-35.27332,-37.386047
christian,16.988031,53.788887
news,38.44935,-9.48281
rid,-2.826412,-16.857233
swamp,36.72108,-43.49037
nebber,-34.086056,42.573204
couple,-24.221998,6.2891912
anderson,63.261726,-8.743132
special,-14.884323,-16.205956
sumpin,-8.97868,28.097918
neer,-44.763718,31.144058
letter,34.166656,43.429432
sally,70.06436,15.619871
nursed,9.472161,-28.299309
cap,-64.03152,-2.9105933
na,-43.794033,45.633636
heared,-17.74067,26.370317
handle,-52.15229,14.371815
returned,23.219433,0.26686203
rose,8.302719,-43.628777
standing,-6.645986,-0.7324406
louis,63.56098,-11.500981
wah,-38.604164,50.252415
public,35.191025,0.5537038
gathered,-34.474216,-28.107172
waited,10.068176,-30.329746
huntin,-23.40531,-4.7038574
pickin,-15.536063,-47.997787
etc,16.222387,-12.18081
danced,-20.211391,-15.037556
grow,-37.802658,-7.223925
walkin,-5.9731264,-17.686377
split,-49.008923,-12.915709
wage,28.336666,-24.7933
fambly,-30.46605,29.266563
axed,-21.90915,38.85134
shore,-13.066599,58.27589
believed,23.67866,26.251297
ahead,15.086283,4.483706
hampton,43.478786,-8.76252
b,61.9508,-16.183027
syrup,-33.452114,-43.951477
makin,-14.274625,27.250637
worker,19.232122,-28.849545
ober,-36.583508,39.324234
dick,64.00988,-2.3257136
quiet,17.952047,13.665537
happen,7.0034084,40.881737
klan,7.2941628,40.466507
considered,27.786808,-3.4340503
experience,21.3916,13.626707
miller,57.136692,-1.1052185
funny,-27.11739,57.49099
washin,4.617938,-35.088753
flat,-48.210377,-20.609753
heah,-39.99423,48.810215
sc,60.15795,-17.750149
knife,-57.76363,0.2629036
seeing,18.434616,11.771923
forget,21.914808,46.226032
gib,-37.683807,34.810383
soap,-46.393497,-30.309866
unless,16.174454,-1.1836542
trader,35.726067,-30.283266
opened,-3.9845998,-44.483513
shake,-49.655773,12.4850025
broad,25.361626,-39.960575
struck,-44.92879,-9.324199
monday,-14.394798,-20.771147
emancipation,25.608936,0.7965724
self,21.900324,-21.575584
busy,-11.776324,-46.444916
amount,19.550226,-11.921857
liza,70.09686,10.953895
fought,39.189095,-17.862963
minister,10.783052,11.171176
homespun,-62.728687,-16.503696
earth,15.604257,55.082134
nevah,-37.292942,49.12274
grandchild,45.142826,2.6834283
spent,18.466076,-17.274565
fear,2.446774,22.39816
evvybody,-23.398975,32.956486
dave,68.81589,-5.580257
yellow,-49.450172,-34.484188
join,14.955585,9.041415
neighborhood,41.186054,16.048496
act,13.54894,22.13257
dye,-47.544846,-37.60671
birth,50.48882,-4.73357
col,54.211697,5.493395
dish,-12.02765,-36.217415
tore,-38.437645,-1.0726867
susan,70.97978,8.809806
mercy,6.171871,51.894703
whatever,-4.2849665,29.519459
nuff,-25.135937,61.572273
east,25.014389,-41.71534
betsy,72.556076,14.788055
interviewer,23.597908,6.085987
burnt,-36.725956,-1.5269673
sez,-28.52646,44.826054
snow,-50.854107,-21.841682
powerful,-12.522497,59.779644
health,28.093086,15.365106
holiday,-16.325941,-16.713829
buck,-21.174465,-15.452651
keer,9.623391,-24.017698
ridin,-5.5505543,-17.944767
victual,-17.927149,-37.16072
northern,36.690243,-11.145402
besides,14.198256,-13.815492
promised,29.638378,13.459734
takin,-14.280139,2.726344
understand,14.81733,21.97156
whooped,-8.13882,12.791461
granny,52.153133,18.364233
class,11.863152,8.09141
daid,-27.132113,44.56084
decided,19.702576,5.2593164
spun,-64.6166,-19.469545
david,61.027683,18.339504
difference,34.96327,18.859041
thin,-58.1725,-24.504477
da,-18.841599,25.136156
pore,-8.443138,52.71736
terrible,23.325823,19.617123
playing,10.098882,-16.33703
jordan,54.004864,27.235699
tight,-56.31542,-4.459252
ironed,6.7424107,-37.314053
sheet,-50.611046,-21.311893
sundown,-18.20016,-25.340511
keep,-23.035625,50.75352
grant,42.558346,-11.256588
distance,28.652979,-42.126335
group,23.680365,-3.0614135
market,40.482685,-28.651972
religious,11.947871,10.864224
emma,67.75698,15.696846
eating,-17.956985,-31.995935
skirt,-55.19492,-5.332968
evenin,-14.820466,-22.102438
douglas,62.506218,9.507523
stuck,-42.499954,6.9804645
treatment,26.40381,17.685835
outer,-45.12188,28.898434
havin,-13.841407,31.426516
knocked,-25.977098,9.93947
cousin,55.92671,16.06888
pass,-7.9458265,6.580988
waist,-54.94651,-4.987946
saddle,-6.191419,-20.164764
wind,-52.85535,-23.822714
sheriff,38.083183,-1.2133125
suh,-2.5347853,61.182934
cannon,6.673858,-47.133812
youngest,60.53557,10.473496
seein,-21.861137,20.49344
bench,-9.129833,-35.91166
listen,10.617788,21.007908
spoke,17.16661,26.84982
annie,70.30203,12.744674
laughed,-21.762589,39.697243
offen,-45.16837,28.583944
bound,12.858756,-36.428978
farmin,21.930462,-23.908533
jine,6.64383,17.35037
missouri,49.45574,-16.816805
rented,24.070204,-26.269505
throwed,-44.563717,5.773603
rheumatism,-52.86822,-8.334893
band,-62.171112,2.6639147
adam,69.38959,-3.927488
beating,-6.367978,16.055588
ship,43.37381,-21.709726
wade,43.67823,-8.068382
booker,39.223663,34.397552
plum,-24.548584,25.883144
fort,43.144363,-19.902388
return,21.97178,0.26550967
fraid,-15.328032,20.582903
attended,12.178663,10.586295
former,28.013815,6.9980307
gallery,9.433,15.157171
mark,1.7895632,-56.578896
adeline,40.04999,6.531624
pen,-35.712547,-53.337017
answered,14.915603,28.497385
fighting,0.4595835,3.1408708
grew,12.140944,-14.560609
taylor,56.893517,1.7677246
purpose,16.343115,-8.741324
cover,-52.20282,-18.384785
runned,-26.424427,41.36272
punishment,25.346527,19.95382
deal,37.372406,-23.434988
hell,18.434698,18.107794
ellen,67.307014,16.02306
somehow,17.592873,50.07508
yas,-2.8973954,61.010777
star,-36.125637,7.2998314
roosevelt,36.92213,32.74125
college,46.599182,-0.3429251
slipped,-4.560132,-6.416643
athens,52.45208,-23.640547
jake,57.0071,14.364959
madison,61.10963,-9.401503
card,-67.90288,-18.82128
baptized,10.35194,16.057352
picking,-14.96176,-47.61723
load,41.934887,-30.878061
marion,53.001045,-3.724994
cared,9.260287,-26.07521
island,47.03119,-18.375925
draw,-49.809307,12.12273
daniel,66.15226,12.393088
thick,-46.54543,-4.5892572
nat,63.571163,-7.20632
julia,71.55224,8.502618
maid,44.26723,10.506206
square,22.514736,-43.78065
hunting,-24.758953,-3.9516234
butler,44.497875,9.383722
stable,-19.920221,-54.373653
hurry,-18.455917,29.935673
wheeler,39.87834,-12.125714
instead,19.746923,-8.784268
prayed,4.4455247,11.413632
already,35.947987,43.61015
peach,-31.658848,-35.450455
season,-25.743862,-40.78687
led,-3.058155,-5.034005
kaise,10.738758,55.701664
anyway,4.4452066,42.56048
playin,8.701381,-16.813461
hearing,15.927155,21.185272
teat,-20.58538,-35.27321
cleaned,7.850656,-37.82511
king,68.55797,-6.2383323
serve,16.133661,52.175655
cure,-49.82696,-38.516853
crick,-20.298178,-4.5466137
brass,-64.59597,-0.86249506
bridge,36.375008,-40.63184
preachin,7.53775,12.164342
f,-35.57236,48.7053
key,-31.32994,-19.027855
learnt,28.255505,39.099483
gon,-43.83033,45.480812
auntie,51.70085,14.210218
branch,33.7341,-46.08321
wukked,-26.168175,29.364178
tale,20.314898,22.911274
bean,-30.542835,-41.980534
least,29.457352,-14.598069
spot,-33.608997,6.425611
alice,68.24453,14.342464
stated,38.26504,7.007078
marble,-19.168922,-9.6088295
scale,63.28989,-8.1142435
warnt,-28.942831,38.283134
heered,-17.509249,26.284245
interview,24.69699,5.2398767
singing,0.33317447,9.519206
wrote,34.37437,43.395405
remembered,19.278175,13.020167
ohio,49.053577,-17.100365
spinning,-66.059845,-20.209436
furniture,-9.641508,-31.405355
candle,-37.59969,-41.51887
planted,-21.282042,-46.508587
clay,16.168827,-43.68885
fruit,-31.756618,-35.766846
augusta,50.36106,-24.280087
bunch,-28.053085,-3.7287574
smile,1.6131951,16.955437
sang,0.8880187,12.316083
permitted,18.885252,-3.9472306
speculator,36.795483,-29.452633
bowl,-39.41478,-26.56535
eber,-32.91122,40.44329
lack,29.633015,17.46038
wud,-36.49156,35.637234
spend,18.93018,-17.693005
warren,54.827324,-13.0489235
fanny,72.90416,15.1215725
groun,-41.736732,-11.71425
follow,-0.52281123,7.248215
coon,-23.976702,-6.0953245
baked,-37.653507,-36.094532
crossed,55.864395,-32.264668
sech,-13.919013,46.399837
boot,-64.914,-6.9026246
african,14.116968,15.069961
button,-64.85889,-1.3599805
visited,-9.5509815,3.2363384
pie,-36.298283,-37.15503
hate,6.0199394,47.068695
furnished,-9.8891,-31.153294
chap,-19.162592,-3.9742274
skillet,-39.139526,-34.06903
pond,35.828915,-45.677982
duty,21.084883,-3.905473
cant,4.2717657,44.95889
weed,-33.06533,-26.347128
mamma,64.9166,13.6668215
purty,-10.510566,60.659412
uster,-39.887096,26.692863
tear,-55.79435,4.8583508
dare,-26.712076,35.878513
leaving,8.3360405,-5.53468
extra,-23.961887,-30.796986
sew,-65.97363,-16.913933
sojers,-33.492928,25.400597
pleased,1.0210521,37.081047
occasion,21.456766,3.89203
boil,-45.246567,-37.214134
lawyer,36.751812,1.9093941
consisted,16.319756,-13.324789
effen,-45.72029,40.02401
ill,26.577755,16.467178
isaac,63.169888,5.6649613
voting,32.915195,31.424572
goodbye,23.175005,7.479081
turnip,-29.523024,-41.978214
haid,-44.540905,20.871801
bull,-60.380657,3.4154584
newberry,58.732063,-14.004809
drop,-48.84077,-7.749608
ward,62.28685,-3.470141
auction,37.304283,-27.642984
offered,32.987766,-20.039154
preaching,10.495973,14.068258
shuckin,-25.643154,-16.51286
giving,13.389565,-6.5601645
wilson,60.90184,-9.148287
live,-44.584885,32.925014
cryin,-7.681599,21.044973
support,32.255352,2.0832717
plumb,-23.858582,26.850508
toward,-0.074756965,8.122015
ha,-35.710487,47.976284
mose,60.5089,12.090071
alex,53.69633,-8.205268
barbecue,-17.617762,-15.429673
cord,-50.046898,-14.331615
udder,-45.49364,32.915966
expected,19.221972,2.3120098
collard,-29.633802,-41.405224
jess,-17.317432,39.681942
alec,62.4582,19.248697
healthy,29.40202,-4.308336
thompson,62.890102,-2.5200088
sand,-39.88447,-19.967701
naked,-53.549046,-5.0409317
federal,37.24102,-11.565663
shade,-25.910225,-25.8898
blowed,-30.859459,-0.1270228
fill,-38.003014,-25.37563
franklin,57.99363,-12.103528
labor,16.750097,-25.414219
squirrel,-23.149054,-7.9701767
camped,37.425514,-40.621223
attend,20.034512,-6.291391
